keyeng,keybn,corbang,blank
amira,আমিরা,,
amiri,আমিরি,,
muhammadia,মুহাম্মাদিয়া,,
dreasser,ড্রেসার,,
onindo,অনিন্দ,,
her,হার,,
juile,জুয়েল,juel,
mowin,মঈন,,
araddho,আরাদ্ধ,,
yarn,ইয়ার্ন,,
sahadat,শাহাদাত,,
unoyon,উন্নয়ন,,
tarlimul,তারলিমুল,,
yars,  ইয়ার্স   ,,
frilance,ফ্রিল্যান্স,freelance,
uniqlo,উনিকলো,,
south,সাউথ,,
aronyak,আরণ্যক,,
homeotti,হোমিওপ্যাথি,homeopathy,
parisa,পারিসা,,
plastics,প্লাস্টিকস,,
bijon,বিজন,,
bibayon,বিবায়ন,,
samshul,সামসুল,,
banquet,ব্যাংকুয়েট,,
savour,সেভিওর,savior,
reloaded,রিলোডেড,,
magdalene,মাগডালেনে,,
ereena,এরিনা,arina,
ezas,এজাজ,ejaj,
bijoy,বিজয়,,
jishan,জিসান,,
tultul,তুলতুল,,
baghna,ভাগ্নে,bhagne,
bijou,বিজু,,
baghne,ভাগ্নে,bhagne,
akmot,একমত,,
audhi,অধি,,
jebeen,জেবীন,,
johurabad,জোহুরাবাদ,,
bologna,বোলোগ্না,,
shatota,সততা,shotota,
bhabani,ভাভানি ,,
harur,হারুর,,
bostroo,বস্ত্র,,
olind,অলিন্দ,,
bougainvillea,বউগ্যাংভিল্লা,,
hahib,হাবিব,habib,
poth,পথ,,
shomokal,সমকাল,,
akmol,আকমল,,
bosco,বস্কো,,
apatajita,অপরাজিতা,Aporajita,
khoku,খোকা,Khoka,
electrinic,ইলেকট্রনিক,Electronic,
jhallokathi,ঝালকাঠি,Jhalokathi,
biddasagor,বিদ্যাসাগর,,
saiyed,সাইয়েদ,,
aabl,এএবিএল,,
gear,গিয়ার্,,
barester,ব্যারিস্টার,barrister,
shonalo,শোনালো,,
mohsinuzzaman,মহসিনুজ্জামান,,
sufiyaya,সুফিয়া,sufiya,
raseda,রাশেদা,,
munya,মুনিয়া,muniya,
shamiti,সমিতি,shomiti,
foams,ফোমস,,
sharifa,শরিফা,,
kathalbagan,কাঁঠালবাগান,,
sordar,সর্দার,,
humayn,হুমায়ন,,
ahsraful,আশরাফুল,,
designtech,ডিসাইনটেক,,
love,লাভ   ,,
freeasia,ফ্রিএশিয়া,,
null,নাল,,
purbasha,পূর্বাশা,,
halcyon,হালসিয়ন,,
kathghor,কাঠঘর,,
lover,লাভার,,
kagi,কাজী,kaji,
kidz,কিডজ,,
solyman,সোলায়মান,solayman,
abashak,আবশ্যক,abosshok,
rustogi,রুস্তোগি,,
habul,হাবুল,,
deloyer,দেলোয়ার,,
aual,আউয়াল,,
nuluallah,নুলুয়াল্লাহ,,
comfortable,কমফোর্টেবল ,,
mamunur,মামুনুর,,
waked, অয়েকড ,,
ksmalapur,ক্ষমালাপুর,komolapur,
have,হ্যাভ,,
tofajjal,তোফাজ্জল,,
shongothon,সংগঠন,,
idal,আইডিয়াল ,ideal,
hillroot,হিলরুট,,
maufoz,মাহফুজ,mahfuz,
medium,মিডিয়াম  ,,
mim,মীম,,
mill,মিল,,
aladdin,আলাদ্দিন,,
min,মিন,,
mia,মিয়া,,
upobhog,উপভোগ,,
mic,মিচ্,,
billiards,বিলিয়ার্ডস,,
israt,ইসরাত,,
bakery,বেকারি,,
ibtesam,ইবতেশাম,,
mishtir,মিষ্টির,,
naksi,নকশি,nokhshir,
voggoponno,ভোগ্যপন্য,,
ist,আইএসটি ,,
moriyam,মরিয়াম,,
samolie,সামলিয়ে,shamliye,
mir,মীর,,
jubael,জুবাইল,,
samsujjaman,সামসুজ্জামান,,
toufik,তৌফিক,,
mamota,মমতা,momota,
khadimul,খাদিমুল,,
jaat,জাত,,
barinre,বারিনরে,,
shimaloy,সীমালয়,,
shaptek,সাপটেক,,
aftale,আফটালে,,
subur,সুবুর,,
duikonna,দুইকন্যা,,
treerontno,ত্রীরত্ন,treerotno,
kesia,কেসিয়া,,
aditio,অদিতিও,,
anchar,আঁচার,,
jaad,জাড ,,
niharika,নীহারিকা,,
toufiq,তৌফিক,,
oyshe,  ঐশী,,
chap,চাপ,,
herman,হারম্যান,,
nisipoddo,নিশিপদ্য  ,nishipoddo,
vubon,ভুবন,,
protimoi,প্রতিময়,,
sheba,সেবা,,
anfa,আনফা,,
saria,সারিয়া,,
sidip,সিডীপ,,
bimonda,বিমন্দা ,,
konok,কনক,,
meradiya,মেরাদিয়া,,
bodal,বদল,,
capita,ক্যাপিটা,,
asterwood,  এস্টারউড,,
khanika,ক্ষণিকা,khonika,
vatara,ভাটারা,,
zfc,জেডএফসি ,,
ajkal,আজকাল,,
boshirul,বশিরুল,,
madhur,মধুর,modhur,
jabbar,জব্বার,,
kakon,কাকন,,
suchana,সূচনা,,
selection,সিলেকশন,,
saymas,সেমাস,,
hema,হেমা,,
manjori,মঞ্জরী,monjuri,
configeration,কনফিগারেশন,,
hafaz,হাফেজ,hafez,
budhdha,  বুদ্ধ   ,,
nobinbagh,নবীনবাগ,,
daloar,দেলোয়ার,delowar,
dripto,দৃপ্ত,,
kitz,   কীটজ,,
ashanaab,আশানাব,,
technologies,টেকনোলজিস,,
staff,স্টাফ,,
speedcom,স্পীডকম,,
jafrabad,জাফরাবাদ,,
wear,ওয়্যার,,
knowledge,নলেজ,,
pranto,প্রান্ত,,
pranto,প্রান্ত,,
shaher,শাহের,,
shofiq,শফিক,,
myanmensingh,ময়মনসিংহ,,
biruni,বিরুনী,,
shofik,শফিক,,
loafers, লোফার্স ,,
amanot,আমানত,,
shahen,শাহেন,,
sinha,সিনহা,,
shahel,সাহেল,,
khoksha,খোকসা,,
shaheb,সাহেব,,
miyar,মিয়ার,,
prantu,প্রান্তু,pranto,
shahee,শাহী,,
shahed,শাহেদ,,
photographs,ফোটোগ্রাফস,,
vater,ভাতের,,
lakriya,লাকরিয়া,,
jubayer,জুবায়ের,,
afsar,আফসার,,
sonakatra,সোনাকাতরা,,
photography,ফোটোগ্রাফি,,
dristi,দৃষ্টি,,
priomoni,প্রিয়মনি,,
jubayed,জুবায়েদ,,
bean,  বিন   ,,
october,অক্টোবর,,
perfection,পারফেকশন,,
jubayel,জুবায়েল,,
beef,বিফ,,
urmila,উর্মিলা,,
babsayi,ব্যাবসায়ী,bebshayi,
bibha,বিভা,,
chaklader,চাকলাদার,,
choudhary,চৌধুরী,,
ghol,ঘোল,,
hiramoti,হীরামতি,,
moudumi,মৌদুমী,,
organ,অর্গান,,
shawons,  শাওন্স,,
monon,মনোন,,
refuelling,রিফুয়েলিং,,
asadujjaman,আসাদুজ্জামান,,
reluce,   রিলিউস ,,
matrika,মাতৃকা,,
sromik,শ্রমিক,,
kobbat,কোব্বাত ,,
abashi,আবাসি,,
shewra,শেওড়া,,
sangeeta,সাঙ্গিটা,,
adiant,অডিয়েন্ট,audient,
shobuj,সবুজ,,
national,ন্যাশনাল,,
lilaboti,লীলাবতী,,
shobur,সবুর,,
daffodils,ডেফোডিলস,,
sweetmeats,সুইটমিট  ,,
confort,কনফর্ট,,
kabya,কাব্য,kabbo,
magdona,ম্যাগডোনা,,
lilaboty,লীলাবতী,,
enayet,এনায়েত,,
morhum,মরহুম,,
mayeda,মায়েদা,,
sunibir,সুনিবিড়,,
jessore,যশর,,
epic,এপিক,,
parvine,পারভীন,parvin,
strawberry,স্ট্রবেরি,,
apon,আপন,,
alvira,আলভিরা,,
nirobota,নীরবতা,,
bostro,বস্ত্র,,
sohiba,সহিবা,"
",
solamia,সোলামিয়া,,
icecream,আইসক্রিম,,
mosiur,মসিউর,,
apos,আপস,aposh,
adhora,অধরা,,
radhuni,রাঁধুনি,,
osthir,অস্থির,,
boundary,বাউন্ডারি,,
ammen, আমীন ,amen,
dakkhina,দক্ষিণা,dokkhina,
topdar,টোপদার   ,,
suruchi,সুরুচি,,
tanbir,তানবীর,,
totini,তটিনী,,
fariha,ফারিহা,,
koncept,কন্সেপ্ট,concept,
kolatia,কলাতিয়া,,
laltu,লাল্টু,,
faridganj,ফরিদগঞ্জ,,
ikhlas,ইখলাস,,
sadiatech, সাদিয়াটেক ,,
bhaihair,ভাইহেয়ার ,,
kamalapur,কমলাপুর,,
bisimillah,বিসমিল্লাহ,bismillah,
juyelary, জুয়ালারি,,
boss,বস,,
sofiullah,সফিউল্লাহ,,
progga,প্রজ্ঞা,,
ronju, রণজূ ,,
ittadi,ইত্যাদি,,
roja,রোজা,,
rasulpur,রসুলপুর,,
plugin,প্লাগইন ,,
chonda,ছন্দ,chondo,
karl,কার্ল ,"
",
joke,জোক,,
ramig,রামিজা,ramija,
assure,অ্যাসিউর,,
aambagan,আমবাগান,,
dryers,ড্রয়ার্স,,
ferdousara,ফেরদৌসআরা,,
yaris,ইয়ারিস ,,
glorious,গ্লোরিয়াস,,
shirajganj,সিরাজগঞ্জ,,
gulsha,গুলশান ,gulshan,
shorup,স্বরূপ,,
trupti,তৃপ্তি,tripty,
agents,এজেন্টস,,
elius,ইলিয়াস,,
denim,ডেনিম,,
purlourur, পার্লার,parlour,
shilhalay,শিখালে,,
afnan,আফনাফ,,
cteate,  ক্রিয়েট  ,create,
polwel,পলওয়েল,,
poyel,পোয়েল,,
shoruf,শরুফ,,
harpoon,হারপূণ,,
punorbason,পুনর্বাসন,,
manhood,ম্যানহুড,,
sajida,সাজিদা,,
shorum,শোরুম,showroom,
srejon,সৃজন,,
lokman,লোকমান,,
rumi,রুমি,,
bondho,বন্ধ,,
mohosi,মোহসি,,
nejum,নেজাম,,
ruma,রুমা,,
jononi,জননী,,
wahid,ওয়াহিদ,,
moniza,মনিজা,,
jhumur,ঝুমুর,,
teamwork,টিমওয়ার্ক   ,,
rafflesia,রেফ্লেসিয়া,,
bondhu,বন্ধু,,
curtain,কার্টেন ,,
jonono,জননো,,
jononi,জননী,,
define,ডিফাইন,,
kohinur,কোহিনুর,,
fatimatuj,ফাতিমাতুজ,,
rangdhanu,রংধনু,,
pailak,পাইলাক,,
jubo,যুব,,
bulu,বুলু,,
buli,বুলি,,
shotabdi,শতাব্দী,,
saimosh,সাইমোশ,,
shoese,শেষে,seshe,
nawaberbagh,নবাবেরবাগ,,
arohi,আরোহী,,
utps,ইউটিপিএস,,
maayer,মায়ের,,
bole,বলে,,
homes,হোমস,,
multi, মালটি,,
paid,প্লাইড,,
shadik,সাদিক,,
achal,আঁচল,,
nibashh,নিবাসঃ,,
jiansu,জিয়ানসু,,
ysf, ওয়ায়এসএফ,,
value,ভ্যালু,,
ajker,আজকের,,
paaner,পানের,,
adammo,অদম্য,,
sandda,সানড্ডা,,
homeo,হোমিও,,
shahedas,শাহেদএস,,
roozbeh,রুজবেহ,,
near,নিয়ার,,
rashida,রাশিদা,,
shikkah,শিক্কাহ,,
transtech,ট্রান্সটেক,,
aamazonia,আমাজোনিয়া,,
manha,মানহা,,
maxel,মাক্সেল,,
matobbor,মাতব্বর,,
medni,মেডিনি,medini ,
prosh,প্রশ,,
esrak,এশরাক,,
arabia,এরাবিয়া,,
partner,পার্টনার,,
lillah,লিল্লাহ,,
bakkor,বক্কর,,
ayiba, আয়িবা,,
mobidik,মোবিডিক  ,,
mostofa,মোস্তফা,,
novoneel,নভোনীল,,
bajitpur,বাজিতপুর,,
articulation,আর্টিকুলেশন,,
administration,অ্যাডমিনিস্ট্রেশন,,
foxy,ফক্সি,,
zaara,জারা,,
hare,হরে,,
kunjo,কুঞ্জ  ,,
rakibul,রাকিবুল,,
maliha,মালিহা,,
fill, ফীল,,
tasif,তাসিফ,,
practice,প্রাকটিস,,
chabi,চাবি,,
econo,ইকোনো,,
samantha,সামান্থা,,
ohai,স্থায়ী,sthayi,
khairul,খাইরুল,,
mesbah,মেসবাহ,,
pipasa,পিপাসা,pipasha,
samela,সামেলা,,
shaptabarna,সপ্তবর্ণা,,
sibtul,শিবতুল,,
ezzyr,  ইজীআর ,,
annex,এন্নেক্স,,
canva,ক্যানভা,,
scholars,স্কলারস ,,
trake,ট্রাকে,,
yasin,ইয়াসিন,,
ohedul,ওহেদুল,,
isheita,ঈশিতা,eshita,
center,সেন্টার,,
isaher,ইসাহের,,
sanika,সানিকা  ,,
mojammel,মোজাম্মেল,,
pashtara,  পাশতারা,,
setu,সেতু,shetu,
centee,সেন্টি,,
sompriti,সম্প্রীতি,,
panta,পান্তা,,
wahidul,ওয়াহিদুল,,
afhnan,আফনান,,
udoyon,উদয়ন,,
muscle,মাসল,,
inomen, ইনোমেন,,
latest,লেটেস্ট,,
tona,টোনা,,
hritu,ঋতু,,
badhar,বাধার,,
storer,স্তরের,,
abad,আবাদ,,
achoron,আচরণ ,,
executive, এক্সিকিউটিভ   ,,
aban,এবং,ebong,
abar,আবার,,
abas,আবাস,,
clinic,ক্লিনিক,,
badhan,বাধন,,
arkash,আরকাশ ,,
fcc,   এফএফসি,,
eyemax,আইমাক্স,,
niru,নিরু,,
laki,লাকি,,
gmi,  জিএমআই,,
tarar,তারার,,
ads, এডিএস  ,,
gmm,  জিএমএম,,
nirr,নীড় ,,
bgmea, বিজিএমইএ ,,
onward,  অনওয়ার্ড  ,,
lake,লেক,,
gme, জিএমই ,,
laky,লাকি,,
add,অ্যাড,,
nira,নিরা,,
adc,এডিসি,,
citizen,সিটিজেন,,
gms,জিএমএস  ,,
chayan,চয়ন,,
adm,এডিএম ,,
anindita,অনিন্দিতা,,
geneous,জিনিয়াস,,
adh,এডিএইচ ,,
adi,আদি,,
chattar,ছাত্তার,,
najma,নাজমা,,
aurditorium,অরডিটোরিয়াম,,
motorbike,মোটরবাইক,,
zoadul,জোয়াদুল,,
kalachan,কালাচান,,
mowmita,মৌমিতা,,
sondip,সন্দীপ,,
nisima,নিঃসীম,,
queensway,  কুইন্সওয়ে,,
chikitsaloy,চিকিৎসালয়,,
piaaj,পিয়াজ,,
dryer,ড্রায়ার,,
sondhani,সন্ধানী,,
deployment,ডিপ্লয়মেন্ট,,
rangon,রঙ্গন,,
omraloi,ওমরালয়,,
sofi,সোফি,,
dubai,দুবাই,,
flamingo,ফ্লামিংগো,,
like,লাইক,,
success,সাকসেস,,
hasanujjaman,হাসানুজ্জামান,,
sofa,সোফা,,
journalism,জারনালিসম ,,
poron,পুরোন,puran,
bismallah,বিসমিল্লাহ  ,bismillah,
waterford,ওয়াটারফোর্ড,,
poros,পরশ,porosh,
sheolota,স্বীয়লতা ,,
naki,নাকি,,
journalist,জারনালিস্ট,,
heed,হীড,,
toiyobul,তৈয়বুল,,
mashfik,মাশফিক,,
reksin,রেকসিন,,
works,ওয়ার্কস,,
soft,সফ্ট,,
italian,ইতালিয়ান,,
supar,সুপার,,
reyaz,রিয়াজ,,
azmair,আযমাইর,,
oitijjho,ঐতিহ্য,,
ohida, অহিদা ,,
korim,করিম,,
pakar,পাকার,,
khaben,খাবেন,,
sohidul,শহিদুল,,
easin,ইয়াসিন,yasin,
authority,অথরিটি,,
hair,হেয়ার,,
oyajed,ওয়াজেদ,,
xplore,এক্সপ্লোর,explore,
ichamotir,ইছামতির,,
belinea,বেলিনেয়া,,
agrovet,এগ্রোভেট,,
shurjo,সূর্য,,
crockaries,ক্রোকারিজ,,
majammel,মোজাম্মেল,,
remico,রেমিকো ,,
swapnoshiri,স্বপ্নসিঁড়ি,,
tapshoa, তাপশোয়া,,
arunodoy,অরুণোদয়,,
tms,টিএমএস,,
somvar,সোমবার,,
unisex,  ইউনিসেক্স,,
ohee,ওহী,,
midea,মিডিয়া,media,
shabana,শাবানা,,
mostafizur,মোস্তাফিজুর,,
nobodoy,নবোদয়,,
students,স্টূডেন্টস,,
mizba,মিজবা,,
jonapath,জনপথ,,
esa,ইএসএ,,
eso,ইএসও,,
mostafizue,মোস্তাফিজুর,,
esl,ইএসএল,,
maruf,মারুফ,,
shuruchi,সুরুচি,,
paner,পানের,,
hose,হোস  ,,
trim,ট্রিম       ,,
alorupa,আলোরুপা ,,
vertex,ভারটেক্স,,
joyonte,জয়ন্তে,,
somaj,সমাজ,shomaj,
rangpur,রংপুর,,
dcc,ডিসিসি,,
sukhtara,সুখতারা,,
chhowa,ছোঁয়া,,
lieutenant,লিউটিনেণ্ট  ,,
simplex,সিমপ্লেক্স,,
deepto,দীপ্ত,,
outbox,আউটবক্স,,
doiamoi, দিয়াময়    ,,
florita,ফ্লোরিতা,,
dhana,ধান,dhan,
deshh,দেশ,desh,
rupashie,রূপসী,ruposhee,
konica,কণিকা,,
boards,বোর্ডস,,
enthony,এনথোনী ,,
ononno,অনন্য,,
kaiyum,কাইয়ুম,,
thelmosimia,থেলমোসিমিয়া,,
noha,নোহা,,
birany, বিরিয়ানি ,biriyani,
marzia,মারজিয়া,,
blessings,ব্লেসিংস,,
jennys,জেনিইস,,
shinthia,সিনথিয়া,,
ononna,অনন্যা,,
chanmiya,চানমিয়া,,
toma,তমা,,
bidyaniketon,বিদ্যানিকেতন,,
beej,বীজ,,
sarower,সারোয়ার  ,saroyar,
napier,নাপিতের,napiter,
selim,সেলিম,,
kobir,কবির,,
childrens,চিলড্রেন্স,,
rupganj,রূপগঞ্জ,,
selim,সেলিম,,
ferdaus,ফেরদৌস,ferdous,
banaful,বনফুল,,
jamider,জামিদের,jomider,
doaripara,দুয়ারিপাড়া,duyaripara,
kadir,কাদির,,
guard,গার্ড,,
female,ফিমেল,,
khonobasi,ক্ষনবাসী,khonobashi,
abloy,অব্যয়,obboy,
zinda,জিন্দা,,
nafija,নাফিজা,,
selims,সেলিমস,,
nurzahan,নুরজাহান,,
deman,ডিমান্ড,demand,
albaz,আলবাজ,,
ridge,রিজ,,
sanda,    সেন্ডা ,,
elastic,ইলাস্টিক,,
kitab,কিতাব,,
vegetables,ভেজিট্যাঁবলস ,,
osmania,ওসমানিয়া,,
jotey,  জোতি ,,
johaira,জহির,johir,
sourov,সৌরভ,,
ganchil,গানচিল,,
tanjila,তানজিলা,,
nurani,নূরানী,,
tanjil,তানজিল,,
maksud,মাকসুদ,,
mojnu,মজনু,,
sikkhalya,শিক্ষালয়,shikkhaloy,
sourob,সৌরভ,,
shusmita,সুস্মিতা,,
rcc,আরসিসি ,,
ivory,আইভরি,,
buy,বাই ,,
bus,বাস,,
brand,ব্র্যান্ড,,
amity,এমিটি,,
santas,সন্ত্রাস,shontrash,
sreto,স্রোত,srot,
but,বাট ,,
rajan,রাজন,,
amit,অমিত,,
rajat,রাজাত,,
bul,বুল,,
moneshwear,মনেশ্বেৰ,,
chayabrikkho,ছায়াবৃক্ষ,,
chori,ছড়ি,,
kraft,ক্রাফট,,
khalpar,খালপাড়,,
myanmanshign, মায়ানম্যানসিং,,
bud,বাড,,
cpm,সিপিএম ,,
britti,বৃত্তি,,
mughdo,মুখঢো,,
srishti,সৃষ্টি,,
pospo,পুস্প,pushpo,
princes,প্রিন্সেস,,
glory,গ্লোরি,,
hop,হপ,,
wisi,বিষয়,bishoy,
wish,  উইশ,,
hlm,এইচএলএম ,,
kulshom,কুলসুম,,
nurer,নূরের,,
delwar,দেলোয়ার,delowar,
srishty,সৃষ্টি,,
engineerrings, ইঞ্জিনিয়াররিংস,,
mosharrof,মোশাররফ,,
grihomukh,গৃহমুখ,,
provati,প্রভাতী,,
mizi,মিজি,,
noveltas,নোবেলটাস,,
duro,দুরো,,
supreme,সুপ্রিম,,
halimabad,হালিমাবাদ,,
saef,সাইফ,saif,
kabbo,কাব্য,,
saed,সাঈদ,,
pia,পিআ,,
domino,ডোমিনো,,
circus,সার্কাস,,
miazy,মিয়াজি ,,
saem,সায়েম,,
katashur,কাটাসুর,,
anusha,আনুশা,,
mongalok,মঙ্গলক,,
garten,গার্টেন,,
refrigerations,রেফ্রিজারেশন্স,,
apshara,অপসরা,,
pir,পীর,,
shooting,শুটিং,,
fulesshori,ফুলেশ্বরী,,
campus,ক্যাম্পাস,,
duniabi,দুনিয়াবী,,
alvirah,আল্ভীরাহ ,,
kharun,খারুন,,
sikto,সিক্ত,,
baituul,বাইতুওল,,
sayontini,সায়ন্তিনী,,
corporation,কর্পোরেশন,,
nittodin,নিত্যদিন,,
oak,ওয়াক,,
mimic,মিমিক ,,
kazim,কাজিম,,
mansura,মানসুরা,,
casero,কাসিরো ,,
sbarro,সাবারো  ,,
balal,বলল,bollo,
dresset,ড্রেসের,dresser,
bidoan,বিদ্বান,bidhan,
dresses,ড্রেসেস,,
dresser,ড্রেসের,,
tokon,তখন,tokhon,
bishooli,বিশুলি,,
shyamoly,শ্যামলী,,
rumpa,রুম্পা,,
danshire,ধানশিরি,dhanshiri,
bayzit,বায়জিৎ,,
brishty,বৃষ্টি,,
shasthyo,স্বাস্থ্য,,
shyamoli,শ্যামলী,,
husky, হাস্কি,,
sufiya,সুফিয়া,,
brishti,বৃষ্টি,,
cherrytree,চেরিট্রি  ,,
philips,ফিলিপ্স,,
orunaloi,অরুনালৈ,,
alamgir,আলমগীর,,
uddayon,উড্ডয়ন,,
ghor,ঘোর,,
baker,বাকের,,
farjana,ফারজানা,,
selit,সেলিম,selim,
foijunnessa,ফৈজুন্নেসা,,
finiba,ফিনিবা,,
vulcan,ভুলকান,,
pahari,পাহাড়ি,,
sayla,শায়লা,shayla,
bashori,বাঁশোরী,,
limited,লিমিটেড,,
juena,জুয়েনা,,
nww,এনডব্লিউডব্লিউ,,
putul,পুতুল,,
tibu,তবু,tobu,
bagher,বাঘের,,
nelson,নেলসন,,
kawshin,কাওশিন,,
dynasty,ডাইন্যাসটি,,
amran,এমরান,,
aloukik,অলৌকিক,,
suny,শুনি,shuni,
ayub,আয়ুব,,
appetite, এপেটাইট  ,,
simultala,শিমুলতলা,,
sokhina,সখিনা,,
vxix,ভিএক্সআইএক্স,,
junaed,জুনায়েদ,,
sibcor,শিবকার,,
jaipur,জয়পুর,,
paris,প্যারিস,,
referal,রেফারাল,,
ahmediya,আহমেদিয়া,,
abahoni,আবাহনী,,
shagufta,সাগুফতা,,
bamper,বাম্পের,,
under,আন্ডার,,
stationery,স্টেশনারি,,
ashirbbad,আশীর্ব্বাদ,,
pride,প্রাইড,,
omoi,  ওময়  ,,
jewellery, জুয়েলারি  ,,
orune,অরুনে,,
mns, এমএনএস  ,,
oushadallay,ঔষাধালয়,,
sium,সিয়াম,,
physician,ফিজিসিয়ান,,
aurochand,  অউরোচান্দ    ,,
mazba,মেজবা,,
rise, রাইস,,
risa,রিসা,,
hardwar,হার্ডওয়ার,hardware,
supto,হার্ডওয়্যার,,
intek,ইনটেক,,
supti,সুপ্তি,,
jack,জ্যাক,,
sohani,সোহানি,,
saota,সাঁওতা,,
khalilur,খলিলুর,,
omor,ওমর,,
sohana,সোহানা,,
school,স্কুল,,
mujaahid,মুজাহিদ,,
alta,আলতা,,
conceive,কন্সিভ,,
najrul,নজরুল,,
kaysar,কায়সার,,
mapleleaf,ম্যাপললিফ,,
sultania,সুলতানিয়া,,
xedax,জেডেক্স   ,,
rozla,রোজলা,,
samima,শামীমা,,
maohammadia,মোহাম্মদীয়া,,
depo,ডিপো,,
enjoy,এনজয়,,
powertek,পাওয়ারটেক,,
bicycle,বাইসাইকেল,,
znen,জিনেন ,,
mobarrak,মোবারাক,,
khurshid,খুরশিদ,,
liaa,লিয়া,,
naim,নাঈম,,
street,স্ট্রিট,,
subacha,সুবাচা    ,,
anjali,অঞ্জলি,,
azimul,আজিমুল,,
shaneela,শানিলা,,
zihad,জিহাদ,,
akbar,আকবর,,
air,এয়ার,,
sipahibagh,সিপাহীবাগ,,
chader,চাঁদের,,
partex,পারটেক্স,,
shining,সাইনিং,,
blue,ব্লু,,
shatabdi,শতাব্দী,,
rowjat,রউজাত ,,
rubel,রুবেল,,
kartick,কার্তিক,,
remi,রেমি,,
paribahon,পরিবহন,,
mahdidewanbag,মাহ্দীদেওয়ানবাগ,,
sudir,সুদির,,
liberty,লিবার্টি,,
sung,সাং,,
kum,কুম,,
cokaris,কোকারিস,,
shoham,সোহম,,
shahidbagh,শহীদবাগ,,
shohan,সোহান,,
mintu,মিন্টু,,
pinku,  পিনকু ,,
shahajahan,শাহজাহান,,
shohad,শহীদ,,
shohag,সোহাগ,,
torjoy,তোরজয় ,,
sartaj,সারতাজ,,
bedaye,বিদায়ে,,
lavlu,লাভলু,,
kaderiya,কাদেরিয়া,,
fulunagar,ফুলুনগর ,,
chitrolekha,চিত্রলেখা,,
oishee,ঐশী,,
mamataj,মমতাজ,,
pata,পাতা,,
america,আমেরিকা,,
arjotpara,আরজতপাড়া,,
studio,স্টুডিও,,
mohashin,মহসিন,mohoshin,
pati,পাতি,,
lavli,লাভলী,,
finders,ফাইন্ডার্স ,,
manara,মানারা,,
apical,এপিক্যাল,,
khejmot,খেজমত,,
akhtaruzzaman,আখতারুজ্জামান,,
muqit,মুকিত,,
fahim,ফাহিম,,
ovijat,অভিজাত,,
bivabori,বিভাবরী,,
prokoshoili,প্রাকশৈলী,,
ahammadia,আহাম্মাদিয়া,,
fahid,ফাহিদ,,
femina,ফেমিনা,,
rjps,আরজেপিএস,,
avijat,অভিজাত,,
bivabory,বিভাবরী,,
centurys,সেঞ্চুরিস,,
changer,চেনজার   ,,
breads,ব্রেডস,,
pabda,পাবদা,,
shajaahan,শাজাহান,,
sanowar,সানোয়ার,,
jahur,জহুর,,
fahim,ফাহিম,,
habibullah,হাবিবুল্লাহ,,
ramjan,রমজান,,
fahima,ফাহিমা,,
greean,গ্রীণ,green,
parvenna,পারবেননা,parbenna,
upazila,উপজেলা  ,,
biddyut,বিদ্যুৎ,,
aaona,আনা,,
afjalul,আফজালুল,,
apan,আপন,apon,
rapsodia,রেপসোডিয়া,,
raida,রাইদা,,
koyeliya,কোয়েলিয়া,,
apad,আপদ,apod,
hospital,হাসপাতাল,,
rozina,রোজিনা,,
fuldol,ফুলদল,,
biriyani,বিরিয়ানি,,
nirbahi,নির্বাহী,,
apac,   এপিএসি,,
solarland,সোলারল্যান্ড,,
sonargaon,সোনারগাঁ,,
poribar,পরিবার,,
asset,অ্যাসেট,,
dayaganj,দয়াগঞ্জ,,
mohasims,মহাশিমস,,
fatma,ফাতেমা,fatema,
mohibur,মহিবুর,,
jamiatul,জামিয়াতুল,,
shuchi,সূচি,,
towfiqur,তৌফিকুর,,
rafchan,রাফচান,,
repairing,রিপেয়ারিং,,
jaiyan,যাইয়েন,,
kaligonj,কালীগঞ্জ,,
maqbul,মকবুল,,
saber,সাবের,,
muslm,মুসলিম,muslim,
anukul,অনুকূল,,
musa,মুসা,,
nilayon,নিলায়ন,"
",
badamtola,বাদামতলা,,
neamot,নেয়ামত,,
accessories,একসেসোরিজ,,
phone,ফোন,,
novum," নোভাম 
",,
moid,মিড,mid,
excellent,এক্সসিলেন্ট,,
moin,মঈন,,
kocchop,কচ্ছপ,,
moij,মঈজ,,
cuttig, কাটিং,cutting,
sabek,সাবেক,,
contectionary,কন্টাকশনারি,,
join, জয়েন   ,,
ranpur,রংপুর,rangpur,
shuddho,শুদ্ধ,,
falgudhara,ফল্গুধারা,,
rahnman,রাহমান,rahman,
mitford,মিটফোর্ড,,
kolapata,কলাপাতা,,
chowdhury, চৌধুরী ,,
rickshaws,রিকশাস,,
onik,অনিক,,
oniv,অনিভ,,
chiktsha,চিকিৎসা,,
upol,উপল,,
mondial,মনডায়াল  ,,
onix,অনিক্স,,
shaleha,সালেহা,,
uttara,উত্তরা,,
sushil,সুশীল,,
chotopatro,ছোটোপাত্র ,,
estate,স্টেট,,
ingenuity,ইনজেনুইটি,,
shantiniketon,শান্তিনিকেতন,,
dolphin,ডলফিন,,
ajija,আজিজ,ajij,
orion,ওরিয়ন,,
chanda,চাঁদা,,
oposra,অপ্সরা,,
mohan,মহান,,
premium,প্রিমিয়াম,,
guarantee,গ্যারান্টি,,
sopon,সপোন,,
oitijjobahi,ঐতিহ্যবাহী,,
ashpia,"আসফিয়া  
",,
